fullVisitorId;visitNumber;browser;operatingSystem;deviceCategory;subContinent;country;city;campaign;source;pageviews;bounces;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;time_range;Classifier
9639;1;5;9;0;15;114;250;0;23;1;1;1;0.0;2016;9;9;2;1001;1;0
8480;1;5;6;0;7;102;295;0;23;1;1;1;0.0;2016;9;9;2;1019;4;0
9752;1;5;6;0;14;3;43;4;3;1;1;1;0.0;2016;9;9;2;1025;3;0
571;2;18;11;1;11;138;295;0;23;1;1;0;0.0;2016;9;9;3;1032;0;0
571;1;18;11;1;11;138;295;0;23;4;0;1;0.0;2016;9;9;2;1014;4;0
9860;1;5;9;0;14;3;43;0;23;5;0;1;0.0;2016;9;9;2;1009;4;0
9369;2;5;9;0;11;138;295;0;23;15;0;0;0.0;2016;9;9;2;1017;4;0
4292;1;5;1;2;11;138;295;0;0;19;0;1;0.0;2016;9;9;2;1010;4;0
571;3;18;11;1;11;138;295;0;23;32;0;0;0.0;2016;9;9;3;1033;0;0
5675;1;8;9;0;18;61;295;0;75;1;1;1;0.0;2016;9;9;2;1004;1;0
2261;1;5;9;0;1;5;259;0;75;1;1;1;0.0;2016;9;9;2;1011;4;0
2157;1;18;6;0;15;101;295;0;75;1;1;1;0.0;2016;9;9;2;1022;3;0
5715;2;5;1;1;7;107;295;0;75;2;0;0;0.0;2016;9;9;2;1016;4;0
4766;7;18;6;0;6;119;246;0;0;1;1;0;0.0;2016;9;9;2;1007;1;0
2242;1;5;5;0;11;138;0;0;0;1;1;1;0.0;2016;9;9;3;1027;0;0
4658;1;5;9;0;14;3;43;0;0;1;1;1;0.0;2016;9;9;2;1021;3;0
9704;1;5;1;1;15;129;295;0;0;2;0;1;0.0;2016;9;9;3;1028;0;0
145;1;5;9;0;15;129;19;0;19;2;0;1;0.0;2016;9;9;2;1003;1;0
494;1;5;11;1;20;132;117;0;0;6;0;1;0.0;2016;9;9;2;1020;4;0
5931;1;5;6;0;12;137;295;0;0;7;0;1;0.0;2016;9;9;2;1013;4;0
4428;1;5;1;1;11;138;148;0;23;1;1;1;0.0;2016;9;9;2;1024;3;0
2460;1;18;6;0;11;138;295;0;23;1;1;1;0.0;2016;9;9;3;1031;0;0
5765;1;5;9;0;17;55;112;0;23;1;1;1;0.0;2016;9;9;2;1015;4;0
8974;1;5;9;0;12;137;295;0;23;1;1;1;0.0;2016;9;9;2;1012;4;0
1110;1;5;9;0;12;137;147;0;23;1;1;1;0.0;2016;9;9;2;1008;4;0
3102;1;7;9;0;6;52;295;0;75;1;1;1;0.0;2016;9;9;3;1029;0;0
9809;1;5;9;0;14;22;295;0;75;1;1;1;0.0;2016;9;9;2;1023;3;0
7827;1;5;9;0;11;138;295;0;75;1;1;1;0.0;2016;9;9;3;1026;0;0
7;1;5;9;0;14;13;0;0;75;1;1;1;0.0;2016;9;9;2;1018;4;0
5715;3;5;1;1;7;107;295;0;75;1;1;0;0.0;2016;9;9;3;1030;0;0
7132;1;5;9;0;7;107;295;0;75;1;1;1;0.0;2016;9;9;2;1002;1;0
4422;1;18;6;0;20;132;116;0;75;2;0;1;0.0;2016;9;9;2;1005;1;0
2005;1;18;6;0;14;15;218;0;75;1;1;1;0.0;2016;9;9;2;1006;1;0
1630;1;5;9;0;11;138;295;0;23;23;0;1;0.0;2017;1;1;26;6535;3;0
618;1;5;1;1;18;61;295;0;75;4;0;1;0.0;2017;1;1;26;6523;4;0
5891;1;5;6;0;11;138;16;0;16;5;0;1;0.0;2017;1;1;26;6534;3;0
2948;1;5;1;2;11;138;295;3;23;5;0;1;0.0;2017;1;1;26;6518;4;0
9380;1;5;1;1;11;138;295;0;66;8;0;1;0.0;2017;1;1;27;6549;0;0
1809;3;5;6;0;11;138;195;0;0;1;0;0;0.0;2017;1;1;26;6528;4;0
6711;4;5;6;0;11;138;295;0;48;4;0;0;0.0;2017;1;1;26;6538;3;0
5876;1;18;11;1;21;43;295;0;23;4;0;1;0.0;2017;1;1;26;6531;3;0
1338;10;5;6;0;11;138;257;0;0;5;0;0;0.0;2017;1;1;27;6541;0;0
21;13;5;6;0;11;138;295;0;48;9;0;0;0.0;2017;1;1;26;6536;3;0
2995;1;5;6;0;11;138;295;0;0;8;0;1;0.0;2017;1;1;26;6532;3;0
