visitNumber;browser;operatingSystem;isMobile;continent;country;city;networkDomain;source;medium;keyword;referralPath;adContent;pageviews;newVisits;transactionRevenue;year;day;weekday;time_range
1;5;9;False;3;114;250;1567;23;5;4;197;11;1;1.0;0.0;2016;2;4;1
1;5;6;False;4;102;295;1493;23;5;4;197;11;1;1.0;0.0;2016;2;4;4
1;5;6;False;2;3;43;1115;3;2;85;197;11;1;1.0;0.0;2016;2;4;3
2;18;11;True;2;138;295;339;23;5;4;197;11;1;0.0;0.0;2016;2;4;0
1;18;11;True;2;138;295;134;23;5;4;197;11;4;1.0;0.0;2016;2;4;4
1;5;9;False;2;3;43;1115;23;5;4;197;11;5;1.0;0.0;2016;2;4;4
2;5;9;False;2;138;295;362;23;5;4;197;11;15;0.0;0.0;2016;2;4;4
1;5;1;True;2;138;295;809;0;0;85;197;11;19;1.0;0.0;2016;2;4;4
3;18;11;True;2;138;295;339;23;5;4;197;11;32;0.0;0.0;2016;2;4;0
1;8;9;False;4;61;295;1439;75;6;85;160;11;1;1.0;0.0;2016;2;4;1
1;5;9;False;5;5;259;202;75;6;85;164;11;1;1.0;0.0;2016;2;4;4
1;18;6;False;3;101;295;1567;75;6;85;148;11;1;1.0;0.0;2016;2;4;3
2;5;1;True;4;107;295;185;75;6;85;179;11;2;0.0;0.0;2016;2;4;4
7;18;6;False;3;119;246;1567;0;0;85;197;11;1;0.0;0.0;2016;2;4;1
1;5;5;False;2;138;0;586;0;0;85;197;11;1;1.0;0.0;2016;2;4;0
1;5;9;False;2;3;43;1446;0;0;85;197;11;1;1.0;0.0;2016;2;4;3
1;5;1;True;3;129;295;16;0;0;85;197;11;2;1.0;0.0;2016;2;4;0
1;5;9;False;3;129;19;0;19;6;85;0;11;2;1.0;0.0;2016;2;4;1
1;5;11;True;3;132;117;1567;0;0;85;197;11;6;1.0;0.0;2016;2;4;4
1;5;6;False;4;137;295;234;0;0;85;197;11;7;1.0;0.0;2016;2;4;4
1;5;1;True;2;138;148;0;23;5;4;197;11;1;1.0;0.0;2016;2;4;3
1;18;6;False;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2016;2;4;0
1;5;9;False;3;55;112;0;23;5;4;197;11;1;1.0;0.0;2016;2;4;4
1;5;9;False;4;137;295;32;23;5;4;197;11;1;1.0;0.0;2016;2;4;4
1;5;9;False;4;137;147;1567;23;5;4;197;11;1;1.0;0.0;2016;2;4;4
1;7;9;False;3;52;295;374;75;6;85;129;11;1;1.0;0.0;2016;2;4;0
1;5;9;False;2;22;295;252;75;6;85;129;11;1;1.0;0.0;2016;2;4;3
1;5;9;False;2;138;295;1212;75;6;85;129;11;1;1.0;0.0;2016;2;4;0
1;5;9;False;2;13;0;1682;75;6;85;143;11;1;1.0;0.0;2016;2;4;4
3;5;1;True;4;107;295;185;75;6;85;179;11;1;0.0;0.0;2016;2;4;0
1;5;9;False;4;107;295;937;75;6;85;179;11;1;1.0;0.0;2016;2;4;1
1;18;6;False;3;132;116;1510;75;6;85;189;11;2;1.0;0.0;2016;2;4;1
1;18;6;False;2;15;218;334;75;6;85;174;11;1;1.0;0.0;2016;2;4;1
1;5;9;False;2;138;295;1354;23;5;4;197;11;23;1.0;0.0;2017;26;3;3
1;5;1;True;4;61;295;1474;75;6;85;160;11;4;1.0;0.0;2017;26;3;4
1;5;6;False;2;138;16;0;16;4;85;197;11;5;1.0;0.0;2017;26;3;3
1;5;1;True;2;138;295;1212;23;3;20;197;11;5;1.0;0.0;2017;26;3;4
1;5;1;True;2;138;295;0;66;6;85;101;11;8;1.0;0.0;2017;26;3;0
3;5;6;False;2;138;195;0;0;0;85;197;11;1;0.0;0.0;2017;26;3;4
4;5;6;False;2;138;295;0;48;6;85;0;11;4;0.0;0.0;2017;26;3;3
1;18;11;True;4;43;295;1383;23;5;4;197;11;4;1.0;0.0;2017;26;3;3
10;5;6;False;2;138;257;0;0;0;85;197;11;5;0.0;0.0;2017;26;3;0
13;5;6;False;2;138;295;0;48;6;85;0;11;9;0.0;0.0;2017;26;3;3
1;5;6;False;2;138;295;1608;0;0;85;197;11;8;1.0;0.0;2017;26;3;3
1;5;9;False;3;60;295;1;75;6;85;129;11;18;1.0;0.0;2017;26;3;3
1;5;1;True;2;22;295;1567;23;5;4;197;11;1;1.0;0.0;2017;26;3;4
1;5;6;False;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2017;26;3;0
1;5;6;False;2;138;172;0;23;5;4;197;11;1;1.0;0.0;2017;26;3;3
1;5;1;True;3;55;295;0;23;5;4;197;11;1;1.0;0.0;2017;26;3;0
1;5;9;False;3;55;210;0;61;6;85;4;11;1;1.0;0.0;2017;26;3;4
3;5;6;False;2;138;148;1581;23;5;4;197;11;1;0.0;0.0;2017;26;3;0
1;18;11;True;3;63;295;1097;75;6;85;162;11;1;1.0;0.0;2017;26;3;4
1;5;3;False;4;102;295;0;23;5;4;197;11;1;1.0;0.0;2017;26;3;0
1;5;6;False;4;39;295;347;75;6;85;150;11;1;1.0;0.0;2017;26;3;4
1;5;9;False;2;100;0;1624;5;6;85;24;11;1;1.0;0.0;2017;26;3;0
2;5;9;False;2;138;257;0;48;6;85;0;11;1;0.0;0.0;2017;26;3;4
1;5;9;False;3;101;295;1126;23;5;4;197;11;1;1.0;0.0;2017;26;3;1
1;5;9;False;2;3;295;1446;75;6;85;143;11;2;1.0;0.0;2017;26;3;0
1;5;3;False;2;138;172;0;48;6;85;0;11;3;1.0;0.0;2017;26;3;3
1;5;6;False;4;39;295;1152;23;5;4;197;11;4;1.0;0.0;2017;26;3;4
2;5;6;False;2;138;195;0;0;0;85;197;11;3;0.0;0.0;2017;26;3;4
1;5;6;False;2;138;182;1608;23;5;4;197;11;2;1.0;0.0;2017;26;3;3
1;5;9;False;2;138;295;1608;0;0;85;197;11;2;1.0;0.0;2017;26;3;0
2;5;5;False;2;138;295;1212;48;6;85;0;11;2;0.0;0.0;2017;26;3;4
1;5;9;False;2;138;295;1212;75;6;85;129;11;1;1.0;0.0;2017;26;3;0
1;5;9;False;4;45;295;1080;75;6;85;129;11;1;1.0;0.0;2017;26;3;3
1;18;11;True;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2017;26;3;1
1;7;9;False;3;142;295;1633;75;6;85;129;11;2;1.0;0.0;2017;26;3;3
1;9;9;False;4;137;295;0;23;5;4;197;11;1;1.0;0.0;2017;23;4;4
1;18;11;True;4;39;295;1262;23;5;4;197;11;1;1.0;0.0;2017;23;4;3
1;5;5;False;3;56;295;1567;0;0;85;197;11;1;1.0;0.0;2017;23;4;0
1;5;5;False;4;102;295;131;0;0;85;197;11;1;1.0;0.0;2017;23;4;4
1;18;6;False;3;127;0;619;0;0;85;197;11;1;1.0;0.0;2017;23;4;1
1;18;11;True;2;138;231;0;23;3;12;197;8;1;1.0;0.0;2017;23;4;4
1;5;6;False;2;138;295;1567;3;2;85;197;11;1;1.0;0.0;2017;23;4;3
4;5;6;False;2;19;271;0;16;4;85;197;11;1;0.0;0.0;2017;23;4;4
3;5;1;True;2;138;295;946;16;4;85;197;11;1;0.0;0.0;2017;23;4;3
4;5;1;True;2;138;295;946;16;4;85;197;11;1;0.0;0.0;2017;23;4;3
1;19;11;True;2;46;295;592;23;5;4;197;11;1;1.0;0.0;2017;23;4;4
1;18;11;True;5;5;161;1567;23;5;4;197;11;1;1.0;0.0;2017;23;4;4
1;18;11;True;2;138;295;0;23;5;4;197;11;1;1.0;0.0;2017;23;4;3
1;8;9;False;4;107;295;484;23;5;92;197;11;1;1.0;0.0;2017;23;4;4
1;5;11;True;2;138;14;134;23;5;4;197;11;1;1.0;0.0;2017;23;4;4
1;18;11;True;2;138;295;339;23;5;4;197;11;2;1.0;0.0;2017;23;4;0
1;5;3;False;2;138;295;0;23;5;4;197;11;2;1.0;0.0;2017;23;4;3
1;5;6;False;4;120;152;0;48;6;85;0;11;2;1.0;0.0;2017;23;4;1
1;5;6;False;2;138;230;1567;23;5;4;197;11;2;1.0;0.0;2017;23;4;4
1;5;6;False;2;138;295;1567;0;0;85;197;11;2;1.0;0.0;2017;23;4;3
3;5;3;False;2;138;257;0;48;6;85;0;11;3;0.0;0.0;2017;23;4;3
