channelGrouping;date;fullVisitorId;visitNumber;visitStartTime;browser;operatingSystem;isMobile;deviceCategory;metro;city;campaign;source;medium;hits;pageviews;bounces;newVisits;transactionRevenue;year;month;quarterMonth;day;weekday;hour
Referral;2017-06-23;2658678838785413275;1;2024-03-09 02:56:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;39;28;False;True;31.49;2017;6;2;23;4;2
Referral;2016-08-11;5513331212846933396;9;2024-03-09 23:08:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);sites.google.com;referral;30;23;False;False;556.61;2016;8;3;11;3;23
Referral;2017-06-13;0933609677016463494;3;2024-03-09 17:05:00;Chrome;Macintosh;False;desktop;Seattle-Tacoma WA;Seattle;(not set);mall.googleplex.com;referral;18;18;False;False;13.59;2017;6;2;13;1;17
Referral;2016-11-10;5488842804207914661;1;2024-03-09 03:46:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;15;12;False;True;27.19;2016;11;4;10;3;3
Referral;2017-06-21;8652691250363359598;5;2024-03-09 23:44:00;Chrome;Macintosh;False;desktop;Detroit MI;Ann Arbor;(not set);mall.googleplex.com;referral;46;38;False;False;25.9;2017;6;2;21;2;23
Referral;2016-11-23;8863754637499294953;4;2024-03-09 21:34:00;Chrome;Linux;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;23;21;False;False;16.78;2016;11;4;23;2;21
Direct;2017-05-01;054873055567921661;4;2024-03-09 19:03:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);(direct);(none);29;24;False;False;55.96;2017;5;2;1;0;19
Direct;2017-06-11;8239950188993198154;2;2024-03-09 03:42:00;Chrome;Macintosh;False;desktop;Portland OR;Portland;(not set);(direct);(none);39;29;False;False;24.27;2017;6;2;11;6;3
Referral;2017-06-30;9929551139809305177;1;2024-03-09 06:05:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;45;37;False;True;45.57;2017;6;2;30;4;6
Direct;2016-12-13;5688849744235446525;3;2024-03-09 16:27:00;Chrome;Windows;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);(direct);(none);49;32;False;False;107.94;2016;12;4;13;1;16
Organic Search;2016-08-31;4332670999936880007;3;2024-03-09 14:03:00;Internet Explorer;Windows;False;desktop;San Francisco-Oakland-San Jose CA;San Francisco;(not set);google;organic;18;16;False;False;114.65;2016;8;3;31;2;14
Referral;2017-02-28;708898149037036750;3;2024-03-09 23:46:00;Chrome;Macintosh;False;desktop;Los Angeles CA;Los Angeles;(not set);mall.googleplex.com;referral;22;19;False;False;23.99;2017;2;1;28;1;23
Display;2016-12-09;740013212735960815;5;2024-03-09 21:41:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);dfa;cpm;48;36;False;False;115.88;2016;12;4;9;4;21
Organic Search;2016-08-22;8082758848088829782;1;2024-03-09 00:37:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;47;38;False;True;52.02;2016;8;3;22;0;0
Direct;2017-03-03;6944288019130180719;2;2024-03-09 13:27:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);10;10;False;False;69.99;2017;3;1;3;4;13
Direct;2017-02-13;5810770256591004737;6;2024-03-09 01:29:00;Chrome;Macintosh;False;desktop;Los Angeles CA;Los Angeles;(not set);(direct);(none);49;34;False;False;253.77;2017;2;1;13;0;1
Organic Search;2016-08-24;9699088107852986293;1;2024-03-09 01:23:00;Chrome;Chrome OS;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;24;19;False;True;460.98;2016;8;3;24;2;1
Referral;2017-04-12;582674888457699636;1;2024-03-09 15:24:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;12;10;False;True;71.85;2017;4;2;12;2;15
Paid Search;2017-04-12;3730067279535822906;3;2024-03-09 12:36:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;AW - Accessories;google;cpc;14;12;False;False;34.91;2017;4;2;12;2;12
Organic Search;2017-03-10;6803371393192136951;2;2024-03-09 19:52:00;Chrome;Chrome OS;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;19;15;False;False;3.49;2017;3;1;10;4;19
Referral;2017-04-28;9890182105631590481;3;2024-03-09 22:34:00;Chrome;Chrome OS;False;desktop;Atlanta GA;Atlanta;(not set);mall.googleplex.com;referral;26;23;False;False;33.59;2017;4;2;28;4;22
Direct;2017-04-28;3671103606125826887;1;2024-03-09 23:10:00;Chrome;Chrome OS;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);(direct);(none);37;33;False;True;67.18;2017;4;2;28;4;23
Organic Search;2017-01-16;4237702059099095460;1;2024-03-09 23:33:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;19;19;False;True;19.99;2017;1;1;16;0;23
Referral;2016-10-26;120815826861008901;1;2024-03-09 21:17:00;Chrome;Macintosh;False;desktop;Austin TX;Austin;(not set);mall.googleplex.com;referral;24;22;False;True;15.19;2016;10;4;26;2;21
Direct;2017-03-08;6944288019130180719;9;2024-03-09 16:55:00;Chrome;Windows;False;desktop;not available in demo dataset;not available in demo dataset;(not set);(direct);(none);13;11;False;False;145.99;2017;3;1;8;2;16
Organic Search;2017-03-08;5523134434912624925;2;2024-03-09 17:15:00;Chrome;Macintosh;False;desktop;Miami-Ft. Lauderdale FL;Miami;(not set);google;organic;20;20;False;False;39.68;2017;3;1;8;2;17
Organic Search;2017-03-08;7000708126985064854;4;2024-03-09 19:34:00;Chrome;Windows;False;desktop;New York NY;New York;(not set);google;organic;20;19;False;False;179.6;2017;3;1;8;2;19
Organic Search;2017-03-08;8753403136686920665;1;2024-03-09 19:51:00;Safari;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;40;31;False;True;367.04;2017;3;1;8;2;19
Organic Search;2016-10-21;1687498847515773010;9;2024-03-09 20:01:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);google;organic;21;18;False;False;20.98;2016;10;4;21;4;20
Referral;2016-08-19;2232874791267570747;2;2024-03-09 16:13:00;Chrome;Linux;False;desktop;San Francisco-Oakland-San Jose CA;Mountain View;(not set);mall.googleplex.com;referral;18;14;False;False;53.67;2016;8;3;19;4;16
Referral;2016-09-01;150038807203175716;3;2024-03-09 20:28:00;Chrome;Macintosh;False;desktop;not available in demo dataset;not available in demo dataset;(not set);mall.googleplex.com;referral;14;11;False;False;41.72;2016;9;3;1;3;20
Paid Search;2016-09-01;5376929534798257568;1;2024-03-09 01:14:00;Chrome;Android;True;mobile;New York NY;New York;AW - Dynamic Search Ads Whole Site;google;cpc;32;23;False;True;37.8;2016;9;3;1;3;1
Organic Search;2016-09-29;5844997119511169482;1;2024-03-09 03:49:00;Firefox;Windows;False;desktop;Atlanta GA;Atlanta;(not set);google;organic;25;23;False;True;18.99;2016;9;3;29;3;3
Referral;2017-03-21;5224582846346969715;4;2024-03-09 20:23:00;Chrome;Macintosh;False;desktop;New York NY;New York;(not set);mall.googleplex.com;referral;54;38;False;False;552.5;2017;3;1;21;1;20
Referral;2017-07-24;6997260560132631354;12;2024-03-09 15:27:00;Chrome;Chrome OS;False;desktop;San Francisco-Oakland-San Jose CA;Sunnyvale;(not set);mall.googleplex.com;referral;31;25;False;False;64.94;2017;7;3;24;0;15
Organic Search;2017-07-24;6026865008041115729;1;2024-03-09 14:46:00;Safari;iOS;True;mobile;not available in demo dataset;not available in demo dataset;(not set);google;organic;77;60;False;True;79.16;2017;7;3;24;0;14
Direct;2016-12-08;3575272597943168955;1;2024-03-09 20:54:00;Chrome;Windows;False;desktop;Dallas-Ft. Worth TX;Dallas;(not set);(direct);(none);10;9;False;True;39.99;2016;12;4;8;3;20
